,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 8107.02, Cook County, Illinois","2,322","1,062",120,434,271,237,"1,260",179,473,256,352
"Census Tract 8108, Cook County, Illinois","2,800","1,240",132,467,375,266,"1,560",228,411,453,468
"Census Tract 8109, Cook County, Illinois","3,372","1,818",260,789,403,366,"1,554",203,413,467,471
"Census Tract 8110, Cook County, Illinois","2,469","1,092",76,146,378,492,"1,377",30,396,381,570
"Census Tract 8111, Cook County, Illinois","3,783","1,775",191,758,486,340,"2,008",114,819,586,489
"Census Tract 8112, Cook County, Illinois","2,569","1,230",151,472,396,211,"1,339",196,502,359,282
"Census Tract 8113.01, Cook County, Illinois","1,061",557,178,258,65,56,504,104,185,126,89
"Census Tract 8113.02, Cook County, Illinois",565,304,40,131,126,7,261,24,92,129,16
"Census Tract 8114.01, Cook County, Illinois","2,032","1,016",62,440,259,255,"1,016",88,393,339,196
"Census Tract 8114.02, Cook County, Illinois","1,731",729,115,276,229,109,"1,002",116,498,272,116
"Census Tract 8115, Cook County, Illinois","2,849","1,365",144,590,415,216,"1,484",115,691,405,273
"Census Tract 8116, Cook County, Illinois","2,861","1,376",223,500,364,289,"1,485",202,511,464,308
"Census Tract 8117.01, Cook County, Illinois",744,404,41,152,184,27,340,51,150,75,64
"Census Tract 8117.02, Cook County, Illinois","1,681",875,167,372,233,103,806,99,283,278,146
"Census Tract 8118, Cook County, Illinois","1,875",837,70,356,320,91,"1,038",183,404,304,147
"Census Tract 8119, Cook County, Illinois","2,790","1,337",20,57,255,"1,005","1,453",88,130,215,"1,020"
"Census Tract 8120, Cook County, Illinois","3,054","1,357",0,98,231,"1,028","1,697",0,127,255,"1,315"
"Census Tract 8121, Cook County, Illinois","1,526",704,14,31,112,547,822,0,69,121,632
"Census Tract 8122, Cook County, Illinois","1,996",986,58,19,63,846,"1,010",0,69,92,849
"Census Tract 8123.01, Cook County, Illinois","1,837",929,26,16,227,660,908,2,166,144,596
"Census Tract 8123.02, Cook County, Illinois","1,400",654,50,48,89,467,746,10,64,78,594
"Census Tract 8124, Cook County, Illinois","1,911",955,0,19,89,847,956,0,45,113,798
"Census Tract 8125, Cook County, Illinois","1,463",737,30,70,73,564,726,12,61,138,515
"Census Tract 8126, Cook County, Illinois","1,433",663,8,16,151,488,770,20,25,103,622
"Census Tract 8127, Cook County, Illinois","1,662",733,13,0,153,567,929,9,92,118,710
"Census Tract 8128.01, Cook County, Illinois","1,398",638,24,49,133,432,760,69,17,160,514
"Census Tract 8128.02, Cook County, Illinois","1,324",571,6,0,83,482,753,0,18,147,588
"Census Tract 8129, Cook County, Illinois","2,456","1,139",2,92,129,916,"1,317",7,61,202,"1,047"
"Census Tract 8130, Cook County, Illinois","1,594",685,5,13,77,590,909,39,76,91,703
"Census Tract 8131, Cook County, Illinois","1,593",722,6,45,146,525,871,0,44,171,656
"Census Tract 8132, Cook County, Illinois","2,238","1,136",12,28,262,834,"1,102",23,112,124,843
"Census Tract 8133.01, Cook County, Illinois",128,67,11,51,5,0,61,0,32,29,0
"Census Tract 8133.02, Cook County, Illinois",138,93,17,52,4,20,45,0,17,0,28
"Census Tract 8134, Cook County, Illinois",373,230,53,79,66,32,143,8,36,63,36
"Census Tract 8135, Cook County, Illinois",692,352,83,78,122,69,340,30,120,132,58
"Census Tract 8136, Cook County, Illinois",162,68,7,25,10,26,94,50,24,20,0
"Census Tract 8137.01, Cook County, Illinois",160,87,23,22,42,0,73,11,31,23,8
"Census Tract 8137.02, Cook County, Illinois",192,97,27,0,50,20,95,17,7,71,0
"Census Tract 8138.01, Cook County, Illinois",93,34,22,0,8,4,59,18,0,21,20
"Census Tract 8138.02, Cook County, Illinois",284,106,25,43,19,19,178,30,36,88,24
"Census Tract 8139, Cook County, Illinois",414,194,18,36,91,49,220,31,89,60,40
"Census Tract 8140, Cook County, Illinois",539,291,48,101,85,57,248,48,63,103,34
"Census Tract 8141, Cook County, Illinois",121,60,28,7,0,25,61,21,27,13,0
"Census Tract 8142, Cook County, Illinois",454,223,42,88,81,12,231,15,148,29,39
"Census Tract 8143, Cook County, Illinois",237,104,48,38,18,0,133,48,40,23,22
"Census Tract 8144, Cook County, Illinois","1,244",501,97,115,193,96,743,114,453,153,23
"Census Tract 8145, Cook County, Illinois",663,316,53,84,119,60,347,76,161,57,53
"Census Tract 8146, Cook County, Illinois","1,016",550,104,175,169,102,466,60,159,165,82
"Census Tract 8147, Cook County, Illinois","1,204",551,55,134,170,192,653,24,165,278,186
"Census Tract 8148, Cook County, Illinois","1,639",867,88,191,248,340,772,110,181,209,272
"Census Tract 8149, Cook County, Illinois","1,406",688,15,304,264,105,718,14,231,256,217
"Census Tract 8150, Cook County, Illinois",446,225,0,115,42,68,221,9,103,81,28
"Census Tract 8151, Cook County, Illinois",837,430,52,194,75,109,407,15,132,68,192
"Census Tract 8152, Cook County, Illinois","1,581",784,73,269,367,75,797,136,184,261,216
"Census Tract 8153, Cook County, Illinois","1,261",642,106,112,191,233,619,30,173,238,178
"Census Tract 8154, Cook County, Illinois","2,448","1,377",43,311,446,577,"1,071",52,253,457,309
"Census Tract 8155, Cook County, Illinois","2,133",956,78,311,283,284,"1,177",119,571,241,246
"Census Tract 8156, Cook County, Illinois","2,476","1,143",150,310,340,343,"1,333",81,408,451,393
"Census Tract 8157.01, Cook County, Illinois","2,302","1,109",33,125,240,711,"1,193",34,151,215,793
"Census Tract 8157.02, Cook County, Illinois","2,944","1,452",14,229,305,904,"1,492",0,300,254,938
"Census Tract 8158, Cook County, Illinois","1,006",420,15,65,146,194,586,63,109,123,291
"Census Tract 8159, Cook County, Illinois","1,899","1,009",32,223,180,574,890,26,95,220,549
"Census Tract 8160, Cook County, Illinois","1,371",683,9,183,106,385,688,9,121,159,399
"Census Tract 8161, Cook County, Illinois","2,020",894,36,161,236,461,"1,126",155,232,177,562
"Census Tract 8162, Cook County, Illinois","1,506",640,49,247,214,130,866,157,260,261,188
"Census Tract 8163, Cook County, Illinois","1,163",605,82,221,234,68,558,92,204,208,54
"Census Tract 8164.01, Cook County, Illinois",498,252,23,70,131,28,246,57,92,87,10
"Census Tract 8164.02, Cook County, Illinois",533,149,13,50,36,50,384,53,94,218,19
"Census Tract 8165, Cook County, Illinois",534,245,62,104,51,28,289,52,134,47,56
"Census Tract 8166, Cook County, Illinois",247,107,17,53,37,0,140,48,57,35,0
"Census Tract 8167, Cook County, Illinois",320,128,14,38,40,36,192,39,66,56,31
"Census Tract 8168, Cook County, Illinois","1,426",730,81,210,257,182,696,54,217,201,224
"Census Tract 8169, Cook County, Illinois",433,209,8,117,74,10,224,59,16,95,54
"Census Tract 8170, Cook County, Illinois",212,92,27,13,33,19,120,31,21,50,18
"Census Tract 8171.01, Cook County, Illinois",161,104,18,55,31,0,57,0,37,20,0
"Census Tract 8171.02, Cook County, Illinois",85,58,0,44,6,8,27,0,0,14,13
"Census Tract 8172, Cook County, Illinois",47,13,0,1,2,10,34,0,0,24,10
"Census Tract 8173, Cook County, Illinois",31,18,6,11,1,0,13,1,0,12,0
"Census Tract 8174, Cook County, Illinois",521,290,17,88,68,117,231,18,97,48,68
"Census Tract 8175, Cook County, Illinois",206,116,0,47,50,19,90,0,43,6,41
"Census Tract 8176, Cook County, Illinois",127,56,11,1,24,20,71,21,21,0,29
"Census Tract 8177, Cook County, Illinois",35,18,0,4,7,7,17,12,0,5,0
"Census Tract 8179, Cook County, Illinois",745,449,16,208,98,127,296,72,55,102,67
"Census Tract 8180, Cook County, Illinois","1,443",613,47,300,177,89,830,91,297,280,162
"Census Tract 8181, Cook County, Illinois","1,227",571,61,94,176,240,656,50,224,154,228
"Census Tract 8182, Cook County, Illinois","1,893",965,31,228,386,320,928,40,279,269,340
"Census Tract 8183, Cook County, Illinois","1,173",548,68,193,158,129,625,37,310,210,68
"Census Tract 8184.01, Cook County, Illinois","1,251",630,88,148,224,170,621,107,197,144,173
"Census Tract 8184.02, Cook County, Illinois","1,473",694,26,193,291,184,779,37,243,215,284
"Census Tract 8185, Cook County, Illinois","3,630","1,758",145,399,565,649,"1,872",105,805,440,522
"Census Tract 8186, Cook County, Illinois","2,592","1,198",37,231,431,499,"1,394",83,256,412,643
"Census Tract 8187, Cook County, Illinois","2,259","1,068",42,258,317,451,"1,191",23,269,406,493
"Census Tract 8188, Cook County, Illinois","3,306","1,672",12,476,704,480,"1,634",109,375,617,533
"Census Tract 8189, Cook County, Illinois","2,795","1,324",29,283,494,518,"1,471",73,346,439,613
"Census Tract 8190, Cook County, Illinois","2,829","1,253",18,67,154,"1,014","1,576",58,225,346,947
"Census Tract 8191, Cook County, Illinois","1,603",766,59,231,282,194,837,143,307,183,204
"Census Tract 8192, Cook County, Illinois","2,527","1,349",193,595,374,187,"1,178",224,341,435,178
"Census Tract 8193, Cook County, Illinois","1,577",708,8,212,215,273,869,39,205,305,320
"Census Tract 8194, Cook County, Illinois","2,808","1,188",75,223,491,399,"1,620",86,339,661,534
"Census Tract 8195, Cook County, Illinois","1,491",624,8,112,107,397,867,24,199,167,477
"Census Tract 8196, Cook County, Illinois","2,185","1,013",25,97,193,698,"1,172",13,76,246,837
"Census Tract 8197, Cook County, Illinois","3,527","1,713",19,99,218,"1,377","1,814",17,144,259,"1,394"
"Census Tract 8198.01, Cook County, Illinois","3,094","1,511",18,51,211,"1,231","1,583",0,65,233,"1,285"
"Census Tract 8198.02, Cook County, Illinois","1,702",797,32,34,70,661,905,5,49,174,677
"Census Tract 8199, Cook County, Illinois","2,040",986,0,72,162,752,"1,054",8,128,171,747
"Census Tract 8200, Cook County, Illinois",960,493,4,43,16,430,467,4,35,52,376
"Census Tract 8201.01, Cook County, Illinois","5,183","2,143",113,271,502,"1,257","3,040",187,546,763,"1,544"
"Census Tract 8201.03, Cook County, Illinois","2,049",916,97,254,167,398,"1,133",170,357,290,316
"Census Tract 8201.04, Cook County, Illinois","2,331","1,173",107,264,321,481,"1,158",123,459,192,384
"Census Tract 8202.01, Cook County, Illinois","5,129","2,460",82,398,766,"1,214","2,669",158,777,788,946
"Census Tract 8202.02, Cook County, Illinois","1,781",861,153,298,306,104,920,151,271,280,218
"Census Tract 8203, Cook County, Illinois","1,357",779,100,272,292,115,578,56,236,176,110
"Census Tract 8204, Cook County, Illinois",504,192,22,96,73,1,312,54,128,96,34
"Census Tract 8205.01, Cook County, Illinois","3,321","1,545",248,669,465,163,"1,776",204,693,666,213
"Census Tract 8205.02, Cook County, Illinois","3,091","1,340",371,515,264,190,"1,751",495,600,424,232
"Census Tract 8206.03, Cook County, Illinois","2,595","1,181",194,664,239,84,"1,414",224,661,388,141
"Census Tract 8206.04, Cook County, Illinois","2,123",951,168,486,172,125,"1,172",239,418,371,144
"Census Tract 8206.05, Cook County, Illinois",939,494,43,151,210,90,445,70,88,184,103
"Census Tract 8206.06, Cook County, Illinois","2,417","1,102",97,405,278,322,"1,315",119,374,462,360
"Census Tract 8207, Cook County, Illinois","2,698","1,354",176,492,634,52,"1,344",204,503,442,195
"Census Tract 8208, Cook County, Illinois","1,540",702,86,336,213,67,838,177,352,181,128
"Census Tract 8209.01, Cook County, Illinois","2,544","1,267",205,530,439,93,"1,277",126,602,437,112
"Census Tract 8209.02, Cook County, Illinois","1,840",872,203,385,202,82,968,264,435,221,48
"Census Tract 8210.01, Cook County, Illinois","2,506","1,264",261,534,270,199,"1,242",277,465,371,129
"Census Tract 8210.02, Cook County, Illinois","2,948","1,490",293,808,204,185,"1,458",219,621,408,210
"Census Tract 8211.01, Cook County, Illinois","2,215","1,062",205,451,254,152,"1,153",232,405,249,267
"Census Tract 8211.02, Cook County, Illinois","1,988",975,237,363,247,128,"1,013",188,411,256,158
"Census Tract 8212, Cook County, Illinois",740,463,36,155,130,142,277,28,99,46,104
"Census Tract 8213, Cook County, Illinois",854,445,79,234,74,58,409,82,165,122,40
"Census Tract 8214.01, Cook County, Illinois",137,85,21,35,15,14,52,12,40,0,0
"Census Tract 8214.02, Cook County, Illinois",154,40,0,30,10,0,114,0,58,56,0
"Census Tract 8215, Cook County, Illinois",18,9,0,4,0,5,9,3,4,0,2
"Census Tract 8216, Cook County, Illinois","1,573",727,0,377,211,139,846,37,323,205,281
"Census Tract 8217, Cook County, Illinois","2,758","1,234",88,348,374,424,"1,524",33,447,278,766
"Census Tract 8218, Cook County, Illinois","2,587","1,254",88,341,406,419,"1,333",94,334,419,486
"Census Tract 8219, Cook County, Illinois","2,700","1,303",127,424,417,335,"1,397",62,469,399,467
"Census Tract 8220, Cook County, Illinois","2,718","1,042",76,441,388,137,"1,676",77,681,606,312
"Census Tract 8221.01, Cook County, Illinois","2,401","1,140",142,267,476,255,"1,261",67,401,448,345
"Census Tract 8221.02, Cook County, Illinois","2,165","1,029",34,394,295,306,"1,136",134,359,351,292
"Census Tract 8222, Cook County, Illinois","2,169","1,039",77,414,385,163,"1,130",104,513,286,227
"Census Tract 8223.01, Cook County, Illinois","2,180","1,116",123,382,319,292,"1,064",199,253,266,346
"Census Tract 8223.02, Cook County, Illinois","2,250","1,025",151,403,357,114,"1,225",109,358,484,274
"Census Tract 8224, Cook County, Illinois","3,320","1,534",243,580,488,223,"1,786",271,583,542,390
"Census Tract 8225, Cook County, Illinois","2,618","1,199",160,442,262,335,"1,419",112,415,433,459
"Census Tract 8226.01, Cook County, Illinois","2,881","1,546",126,406,501,513,"1,335",126,410,358,441
"Census Tract 8226.02, Cook County, Illinois","4,422","2,164",134,648,649,733,"2,258",152,705,655,746
"Census Tract 8227.01, Cook County, Illinois","2,042",874,77,319,220,258,"1,168",27,419,400,322
"Census Tract 8227.02, Cook County, Illinois","1,952",773,47,286,233,207,"1,179",75,399,355,350
"Census Tract 8228.01, Cook County, Illinois","2,004",927,29,291,230,377,"1,077",48,239,265,525
"Census Tract 8228.02, Cook County, Illinois","2,119",937,37,193,340,367,"1,182",87,367,272,456
"Census Tract 8229, Cook County, Illinois","1,004",567,73,226,202,66,437,16,149,213,59
"Census Tract 8230.01, Cook County, Illinois","2,891","1,344",176,605,413,150,"1,547",183,499,566,299
"Census Tract 8230.02, Cook County, Illinois","3,426","1,772",218,564,712,278,"1,654",163,459,787,245
"Census Tract 8231.01, Cook County, Illinois","2,618","1,227",130,511,408,178,"1,391",154,554,413,270
"Census Tract 8231.02, Cook County, Illinois","2,397","1,212",176,624,332,80,"1,185",135,493,457,100
"Census Tract 8232, Cook County, Illinois","2,616","1,150",60,438,468,184,"1,466",58,631,489,288
"Census Tract 8233.02, Cook County, Illinois","1,833",910,174,250,340,146,923,144,482,254,43
"Census Tract 8233.03, Cook County, Illinois","2,148","1,039",93,400,365,181,"1,109",148,316,500,145
"Census Tract 8233.04, Cook County, Illinois","2,455","1,280",177,512,350,241,"1,175",84,584,287,220
"Census Tract 8234, Cook County, Illinois","1,049",496,45,263,143,45,553,7,321,160,65
"Census Tract 8235, Cook County, Illinois","1,436",662,84,229,181,168,774,47,274,156,297
"Census Tract 8236.02, Cook County, Illinois","4,402","1,904",65,539,823,477,"2,498",175,682,903,738
"Census Tract 8236.03, Cook County, Illinois",73,45,6,22,0,17,28,0,10,18,0
"Census Tract 8236.04, Cook County, Illinois","2,507","1,149",88,238,272,551,"1,358",87,263,390,618
"Census Tract 8236.05, Cook County, Illinois","2,615","1,337",134,334,333,536,"1,278",88,386,365,439
"Census Tract 8237.02, Cook County, Illinois","3,490","1,682",225,593,471,393,"1,808",101,730,663,314
"Census Tract 8237.03, Cook County, Illinois","3,758","1,858",307,704,534,313,"1,900",267,754,393,486
"Census Tract 8237.04, Cook County, Illinois","2,401","1,214",87,300,394,433,"1,187",140,375,367,305
"Census Tract 8237.05, Cook County, Illinois","2,810","1,372",110,583,416,263,"1,438",141,522,350,425
"Census Tract 8238.01, Cook County, Illinois","3,933","1,676",67,302,465,842,"2,257",173,829,473,782
"Census Tract 8238.03, Cook County, Illinois","4,286","2,093",240,682,799,372,"2,193",206,643,862,482
"Census Tract 8238.05, Cook County, Illinois","2,109",986,60,289,408,229,"1,123",108,361,327,327
"Census Tract 8238.06, Cook County, Illinois","2,219","1,117",169,445,301,202,"1,102",113,460,415,114
"Census Tract 8239.01, Cook County, Illinois","2,650","1,165",11,202,432,520,"1,485",80,391,449,565
"Census Tract 8239.03, Cook County, Illinois","2,998","1,315",97,192,374,652,"1,683",102,237,544,800
"Census Tract 8239.04, Cook County, Illinois","2,798","1,296",53,291,470,482,"1,502",62,404,500,536
"Census Tract 8240.03, Cook County, Illinois","3,921","1,952",56,402,761,733,"1,969",125,444,665,735
"Census Tract 8240.04, Cook County, Illinois","3,397","1,678",150,447,419,662,"1,719",192,497,345,685
"Census Tract 8240.05, Cook County, Illinois","3,342","1,630",105,449,587,489,"1,712",66,499,513,634
"Census Tract 8240.06, Cook County, Illinois","2,516","1,294",16,294,340,644,"1,222",31,308,364,519
"Census Tract 8241.05, Cook County, Illinois","3,934","1,797",57,300,595,845,"2,137",89,456,806,786
"Census Tract 8241.06, Cook County, Illinois","3,956","1,693",54,477,430,732,"2,263",51,556,778,878
"Census Tract 8241.07, Cook County, Illinois","4,441","1,900",109,519,658,614,"2,541",163,923,773,682
"Census Tract 8241.08, Cook County, Illinois","3,875","1,800",60,555,610,575,"2,075",186,712,785,392
"Census Tract 8241.13, Cook County, Illinois","3,865","1,852",75,450,560,767,"2,013",79,516,507,911
"Census Tract 8241.14, Cook County, Illinois","2,949","1,422",69,142,267,944,"1,527",44,319,380,784
"Census Tract 8241.15, Cook County, Illinois","2,485",945,70,282,245,348,"1,540",92,461,461,526
"Census Tract 8241.16, Cook County, Illinois","2,702","1,206",69,354,383,400,"1,496",64,517,515,400
"Census Tract 8241.17, Cook County, Illinois","5,901","2,789",137,704,926,"1,022","3,112",110,991,691,"1,320"
"Census Tract 8241.19, Cook County, Illinois","3,498","1,630",46,328,525,731,"1,868",142,644,582,500
"Census Tract 8241.20, Cook County, Illinois","5,677","2,507",93,526,597,"1,291","3,170",120,986,792,"1,272"
"Census Tract 8241.21, Cook County, Illinois","2,131",948,99,305,328,216,"1,183",55,378,294,456
"Census Tract 8241.22, Cook County, Illinois","3,883","1,766",56,385,660,665,"2,117",143,731,538,705
"Census Tract 8241.23, Cook County, Illinois","4,632","2,236",61,620,874,681,"2,396",166,673,919,638
"Census Tract 8243, Cook County, Illinois",184,70,34,12,24,0,114,31,61,22,0
"Census Tract 8244, Cook County, Illinois",776,301,39,112,132,18,475,58,221,135,61
"Census Tract 8245.03, Cook County, Illinois","4,248","2,037",76,444,725,792,"2,211",102,681,677,751
"Census Tract 8245.05, Cook County, Illinois","4,048","1,958",104,659,729,466,"2,090",170,634,686,600
"Census Tract 8245.06, Cook County, Illinois","4,826","2,208",122,729,563,794,"2,618",179,833,743,863
"Census Tract 8245.07, Cook County, Illinois","2,695","1,114",58,369,393,294,"1,581",111,528,569,373
"Census Tract 8246.01, Cook County, Illinois","2,620","1,216",126,459,414,217,"1,404",89,383,739,193
"Census Tract 8246.02, Cook County, Illinois","4,113","1,903",174,362,881,486,"2,210",88,768,850,504
"Census Tract 8247.01, Cook County, Illinois","1,800",906,15,512,264,115,894,58,327,273,236
"Census Tract 8247.02, Cook County, Illinois","2,290","1,094",119,447,360,168,"1,196",0,534,486,176
"Census Tract 8248, Cook County, Illinois","1,445",728,46,462,166,54,717,118,411,168,20
"Census Tract 8249, Cook County, Illinois",556,266,29,138,61,38,290,75,130,37,48
"Census Tract 8250, Cook County, Illinois","2,613","1,267",101,634,374,158,"1,346",120,498,430,298
"Census Tract 8252, Cook County, Illinois",821,446,11,179,202,54,375,48,146,138,43
"Census Tract 8253.02, Cook County, Illinois","3,181","1,498",106,375,742,275,"1,683",48,509,659,467
"Census Tract 8253.03, Cook County, Illinois","2,388","1,230",64,342,418,406,"1,158",46,422,296,394
"Census Tract 8253.04, Cook County, Illinois","2,383","1,231",73,291,458,409,"1,152",39,357,371,385
"Census Tract 8254, Cook County, Illinois","3,233","1,494",54,528,611,301,"1,739",72,560,501,606
"Census Tract 8255.01, Cook County, Illinois",658,260,4,91,129,36,398,56,249,76,17
"Census Tract 8255.03, Cook County, Illinois",662,239,0,78,78,83,423,26,56,171,170
"Census Tract 8255.04, Cook County, Illinois",200,91,19,26,46,0,109,17,61,30,1
"Census Tract 8255.05, Cook County, Illinois",516,222,12,39,84,87,294,15,81,42,156
"Census Tract 8256, Cook County, Illinois",434,220,50,87,58,25,214,20,93,60,41
"Census Tract 8257, Cook County, Illinois",548,296,31,160,77,28,252,81,105,42,24
"Census Tract 8258.01, Cook County, Illinois",222,123,14,11,72,26,99,12,17,26,44
"Census Tract 8258.02, Cook County, Illinois",374,180,0,88,76,16,194,64,89,39,2
"Census Tract 8258.03, Cook County, Illinois",541,234,38,74,62,60,307,31,82,113,81
"Census Tract 8259, Cook County, Illinois",431,186,10,105,71,0,245,15,106,98,26
"Census Tract 8260, Cook County, Illinois",340,159,42,59,20,38,181,40,89,42,10
"Census Tract 8261, Cook County, Illinois",960,482,33,203,154,92,478,72,174,100,132
"Census Tract 8262.01, Cook County, Illinois",445,165,4,49,100,12,280,120,144,16,0
"Census Tract 8262.02, Cook County, Illinois",986,497,55,180,216,46,489,91,150,164,84
"Census Tract 8263.01, Cook County, Illinois",234,98,20,13,32,33,136,21,43,68,4
"Census Tract 8263.03, Cook County, Illinois",206,96,0,24,35,37,110,7,37,37,29
"Census Tract 8263.04, Cook County, Illinois",42,28,7,21,0,0,14,7,0,7,0
"Census Tract 8264.01, Cook County, Illinois",73,35,11,6,0,18,38,7,18,4,9
"Census Tract 8264.02, Cook County, Illinois",317,154,0,60,59,35,163,8,44,77,34
"Census Tract 8265, Cook County, Illinois",325,142,23,49,42,28,183,11,15,107,50
"Census Tract 8266, Cook County, Illinois",199,113,0,45,34,34,86,24,26,36,0
"Census Tract 8267, Cook County, Illinois",188,110,9,49,52,0,78,0,53,9,16
"Census Tract 8268, Cook County, Illinois",375,196,12,125,59,0,179,43,98,20,18
"Census Tract 8269.01, Cook County, Illinois",1,0,0,0,0,0,1,0,1,0,0
"Census Tract 8269.02, Cook County, Illinois",3,2,0,0,2,0,1,0,1,0,0
"Census Tract 8270, Cook County, Illinois",23,0,0,0,0,0,23,13,0,10,0
"Census Tract 8271, Cook County, Illinois",75,55,22,26,0,7,20,7,8,0,5
"Census Tract 8272, Cook County, Illinois",259,143,17,64,20,42,116,10,54,10,42
"Census Tract 8273, Cook County, Illinois",98,25,14,11,0,0,73,33,26,14,0
"Census Tract 8274, Cook County, Illinois",43,11,2,0,9,0,32,15,17,0,0
"Census Tract 8275, Cook County, Illinois",260,81,15,44,18,4,179,0,115,61,3
"Census Tract 8276, Cook County, Illinois",16,8,0,8,0,0,8,0,0,8,0
"Census Tract 8277, Cook County, Illinois",432,189,23,71,63,32,243,0,114,63,66
"Census Tract 8278.01, Cook County, Illinois","1,168",492,65,139,221,67,676,119,244,187,126
"Census Tract 8278.02, Cook County, Illinois",475,198,21,69,53,55,277,14,132,90,41
"Census Tract 8278.04, Cook County, Illinois",475,235,10,83,60,82,240,10,112,39,79
"Census Tract 8278.05, Cook County, Illinois",505,287,3,97,112,75,218,36,114,25,43
"Census Tract 8279.01, Cook County, Illinois",233,121,5,18,20,78,112,6,77,12,17
"Census Tract 8279.02, Cook County, Illinois","1,232",606,78,250,182,96,626,92,253,178,103
"Census Tract 8280, Cook County, Illinois","1,859",841,51,309,327,154,"1,018",52,483,273,210
"Census Tract 8281, Cook County, Illinois","2,532","1,089",116,373,260,340,"1,443",72,469,459,443
"Census Tract 8282.01, Cook County, Illinois","1,491",765,24,334,265,142,726,79,279,200,168
"Census Tract 8282.02, Cook County, Illinois","1,823",847,19,415,225,188,976,55,394,316,211
"Census Tract 8283, Cook County, Illinois","1,876",807,83,375,275,74,"1,069",102,482,357,128
"Census Tract 8284.01, Cook County, Illinois","1,685",822,24,135,259,404,863,11,187,222,443
"Census Tract 8284.02, Cook County, Illinois","1,291",576,32,211,145,188,715,37,231,236,211
"Census Tract 8285.03, Cook County, Illinois",843,440,66,111,216,47,403,84,198,77,44
"Census Tract 8285.04, Cook County, Illinois","1,223",668,211,226,219,12,555,43,342,153,17
"Census Tract 8285.05, Cook County, Illinois","2,326","1,115",63,422,442,188,"1,211",58,470,519,164
"Census Tract 8285.06, Cook County, Illinois","1,908",867,49,305,263,250,"1,041",152,339,392,158
"Census Tract 8286.01, Cook County, Illinois","2,356","1,071",36,217,299,519,"1,285",35,356,383,511
"Census Tract 8286.02, Cook County, Illinois","1,460",628,0,97,230,301,832,64,111,324,333
"Census Tract 8287.01, Cook County, Illinois","1,053",536,0,100,273,163,517,0,132,280,105
"Census Tract 8287.02, Cook County, Illinois",696,400,60,129,160,51,296,45,95,109,47
"Census Tract 8288.01, Cook County, Illinois","1,723",838,18,120,328,372,885,15,192,336,342
"Census Tract 8288.02, Cook County, Illinois","1,416",629,28,157,305,139,787,0,364,199,224
"Census Tract 8289, Cook County, Illinois",430,241,20,85,67,69,189,0,75,89,25
"Census Tract 8290, Cook County, Illinois",8,6,6,0,0,0,2,0,0,2,0
"Census Tract 8291, Cook County, Illinois",422,274,68,87,101,18,148,45,50,40,13
"Census Tract 8292, Cook County, Illinois","1,407",755,68,235,249,203,652,58,219,216,159
"Census Tract 8293.01, Cook County, Illinois","1,175",534,8,118,203,205,641,71,251,173,146
"Census Tract 8293.02, Cook County, Illinois",296,134,27,73,17,17,162,55,66,24,17
"Census Tract 8294.01, Cook County, Illinois",5,0,0,0,0,0,5,0,5,0,0
"Census Tract 8294.02, Cook County, Illinois",818,406,19,123,161,103,412,0,169,86,157
"Census Tract 8295, Cook County, Illinois","1,345",650,64,295,217,74,695,67,303,276,49
"Census Tract 8296, Cook County, Illinois","1,648",745,53,358,231,103,903,68,481,297,57
"Census Tract 8297, Cook County, Illinois",618,299,24,84,146,45,319,41,79,134,65
"Census Tract 8298, Cook County, Illinois","2,767","1,297",76,120,205,896,"1,470",17,158,403,892
"Census Tract 8299.01, Cook County, Illinois","2,197",860,26,242,220,372,"1,337",131,481,341,384
"Census Tract 8299.02, Cook County, Illinois",636,302,25,56,68,153,334,0,97,104,133
"Census Tract 8300.01, Cook County, Illinois","1,730",771,89,312,261,109,959,99,491,239,130
"Census Tract 8300.03, Cook County, Illinois",395,163,0,82,42,39,232,0,67,90,75
"Census Tract 8300.04, Cook County, Illinois",748,305,21,69,103,112,443,19,173,168,83
"Census Tract 8300.05, Cook County, Illinois",928,441,10,78,123,230,487,10,83,111,283
"Census Tract 8300.06, Cook County, Illinois",644,344,25,144,95,80,300,11,114,104,71
"Census Tract 8300.07, Cook County, Illinois",754,380,36,143,150,51,374,41,157,143,33
"Census Tract 8300.08, Cook County, Illinois",420,182,12,90,32,48,238,59,21,43,115
"Census Tract 8301, Cook County, Illinois",396,177,0,38,56,83,219,20,60,27,112
"Census Tract 8302.01, Cook County, Illinois",904,436,23,61,134,218,468,18,139,243,68
"Census Tract 8302.02, Cook County, Illinois","1,096",575,112,60,193,210,521,87,124,117,193
"Census Tract 8303, Cook County, Illinois","1,082",333,15,69,137,112,749,15,241,230,263
"Census Tract 8304, Cook County, Illinois","1,221",659,34,175,184,266,562,36,134,206,186
"Census Tract 8305, Cook County, Illinois",42,10,0,5,5,0,32,6,4,22,0
"Census Tract 8306, Cook County, Illinois","1,269",662,4,39,135,484,607,13,43,136,415
"Census Tract 8307, Cook County, Illinois","1,552",841,66,83,117,575,711,45,152,85,429
"Census Tract 8308, Cook County, Illinois","1,453",591,26,18,107,440,862,0,75,135,652
"Census Tract 8309, Cook County, Illinois","1,239",733,0,32,65,636,506,45,21,17,423
