,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 1401, Cook County, Illinois",640,346,30,62,113,141,294,20,77,63,134
"Census Tract 1402, Cook County, Illinois",830,477,51,70,130,226,353,5,91,70,187
"Census Tract 1403.01, Cook County, Illinois",235,119,0,0,66,53,116,0,3,29,84
"Census Tract 1403.02, Cook County, Illinois",935,393,61,34,156,142,542,34,150,128,230
"Census Tract 1404, Cook County, Illinois","2,556","1,209",81,355,318,455,"1,347",149,278,364,556
"Census Tract 1405, Cook County, Illinois","1,102",534,79,182,127,146,568,110,121,145,192
"Census Tract 1406.01, Cook County, Illinois",375,226,14,169,6,37,149,0,77,18,54
"Census Tract 1406.02, Cook County, Illinois",802,404,95,77,105,127,398,57,56,111,174
"Census Tract 1407.01, Cook County, Illinois",729,355,28,61,94,172,374,28,24,79,243
"Census Tract 1407.02, Cook County, Illinois",881,426,40,92,78,216,455,34,52,64,305
"Census Tract 1408, Cook County, Illinois","2,738","1,223",13,69,108,"1,033","1,515",48,171,166,"1,130"
"Census Tract 1502, Cook County, Illinois","3,801","1,853",109,438,543,763,"1,948",301,407,591,649
"Census Tract 1503, Cook County, Illinois","3,453","1,698",27,757,384,530,"1,755",142,499,520,594
"Census Tract 1504.01, Cook County, Illinois","2,444","1,204",96,412,353,343,"1,240",94,392,366,388
"Census Tract 1504.02, Cook County, Illinois","1,478",693,86,309,169,129,785,159,177,244,205
"Census Tract 1505.01, Cook County, Illinois","1,957",953,83,365,200,305,"1,004",69,350,297,288
"Census Tract 1505.02, Cook County, Illinois","1,774",990,90,345,288,267,784,92,263,282,147
"Census Tract 1506, Cook County, Illinois","1,500",729,45,352,171,161,771,39,316,204,212
"Census Tract 1507, Cook County, Illinois","1,917",931,148,346,254,183,986,144,436,224,182
"Census Tract 1508, Cook County, Illinois","1,606",805,114,324,172,195,801,133,260,204,204
"Census Tract 1510.01, Cook County, Illinois",592,252,45,115,51,41,340,130,150,26,34
"Census Tract 1510.02, Cook County, Illinois","1,029",451,112,164,103,72,578,70,263,86,159
"Census Tract 1511, Cook County, Illinois","1,871",836,153,329,213,141,"1,035",247,317,222,249
"Census Tract 1512, Cook County, Illinois","1,799",808,169,298,188,153,991,131,532,210,118
"Census Tract 1601, Cook County, Illinois","1,083",506,147,116,133,110,577,47,197,125,208
"Census Tract 1602, Cook County, Illinois","1,596",889,65,219,201,404,707,33,121,228,325
"Census Tract 1603, Cook County, Illinois","1,634",791,83,167,153,388,843,64,304,101,374
"Census Tract 1604, Cook County, Illinois","1,934","1,009",154,318,145,392,925,117,195,201,412
"Census Tract 1605.01, Cook County, Illinois",557,297,43,51,26,177,260,55,38,66,101
"Census Tract 1605.02, Cook County, Illinois",869,423,31,18,133,241,446,53,100,44,249
"Census Tract 1606.01, Cook County, Illinois","1,136",642,138,21,116,367,494,28,38,85,343
"Census Tract 1606.02, Cook County, Illinois","1,308",642,53,114,153,322,666,52,146,154,314
"Census Tract 1607, Cook County, Illinois","2,042","1,086",225,180,252,429,956,59,350,77,470
"Census Tract 1608, Cook County, Illinois","1,351",713,54,77,215,367,638,31,149,139,319
"Census Tract 1609, Cook County, Illinois","1,007",459,13,14,183,249,548,8,54,110,376
"Census Tract 1610, Cook County, Illinois",857,402,9,88,98,207,455,23,110,59,263
"Census Tract 1611, Cook County, Illinois","1,028",519,50,103,82,284,509,13,111,36,349
"Census Tract 1612, Cook County, Illinois",668,343,56,136,61,90,325,33,135,53,104
"Census Tract 1613, Cook County, Illinois","1,055",447,44,179,117,107,608,74,230,127,177
"Census Tract 1701, Cook County, Illinois","1,239",492,63,129,144,156,747,140,172,218,217
"Census Tract 1702, Cook County, Illinois","1,875","1,048",100,372,364,212,827,65,311,133,318
"Census Tract 1703, Cook County, Illinois","2,641","1,217",76,417,415,309,"1,424",110,506,414,394
"Census Tract 1704, Cook County, Illinois","2,137",951,120,498,220,113,"1,186",167,515,207,297
"Census Tract 1705, Cook County, Illinois","2,758","1,314",97,490,453,274,"1,444",147,575,347,375
"Census Tract 1706, Cook County, Illinois","1,388",701,63,247,233,158,687,99,209,283,96
"Census Tract 1707, Cook County, Illinois","1,570",762,84,216,313,149,808,64,399,209,136
"Census Tract 1708, Cook County, Illinois","2,217","1,022",121,349,384,168,"1,195",262,335,270,328
"Census Tract 1709, Cook County, Illinois",876,387,48,147,129,63,489,81,207,53,148
"Census Tract 1710, Cook County, Illinois","4,050","1,945",261,873,485,326,"2,105",244,617,780,464
"Census Tract 1711, Cook County, Illinois","1,821",961,100,473,201,187,860,129,238,246,247
"Census Tract 1801, Cook County, Illinois","2,097",972,133,301,384,154,"1,125",131,337,424,233
"Census Tract 1901, Cook County, Illinois",327,142,33,74,25,10,185,31,129,14,11
"Census Tract 1902, Cook County, Illinois",847,455,80,123,90,162,392,100,120,125,47
"Census Tract 1903, Cook County, Illinois","1,514",754,99,283,233,139,760,62,325,201,172
"Census Tract 1904.01, Cook County, Illinois","1,240",608,63,249,161,135,632,50,258,208,116
"Census Tract 1904.02, Cook County, Illinois","1,005",469,40,216,75,138,536,44,260,96,136
"Census Tract 1906.01, Cook County, Illinois",404,239,47,134,46,12,165,35,78,25,27
"Census Tract 1906.02, Cook County, Illinois",589,301,49,145,49,58,288,75,137,47,29
"Census Tract 1907.01, Cook County, Illinois",406,155,3,59,64,29,251,62,85,54,50
"Census Tract 1907.02, Cook County, Illinois",575,319,0,144,138,37,256,68,99,18,71
"Census Tract 1908, Cook County, Illinois",631,280,37,102,37,104,351,33,112,181,25
